skills,experience,cgpa,projects,score
"embedded systems, python, machine learning, verilog",1.5,8.1,robotics arm,100.0
"iot, machine learning, python",2.8,7.25,signal analyzer,84.08
"c programming, machine learning, python, verilog",1.7,7.65,wireless communication model,90.14
"iot, python, vlsi design, machine learning",2.9,7.25,image processing system,87.61
"embedded systems, python, machine learning, verilog",4.5,7.83,iot weather station,100.0
"embedded systems, python, machine learning, matlab, signal processing",2.3,8.36,signal analyzer,100.0
"embedded systems, python, machine learning, verilog, pcb design",1.1,8.24,smart home automation,100.0
"machine learning, matlab, vlsi design, c programming",2.8,7.46,robotics arm,100.0
"c programming, signal processing, embedded systems",2.1,7.51,wireless communication model,88.55
"embedded systems, python, machine learning, pcb design",4.1,7.89,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, vlsi design",5.0,7.36,robotics arm,100.0
"vlsi design, c programming, pcb design",2.8,7.81,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, c programming",3.5,9.68,signal analyzer,100.0
"embedded systems, python, machine learning, iot, c programming",3.5,8.87,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design, matlab",3.5,8.2,fpga based design,100.0
"embedded systems, verilog, machine learning, matlab",2.2,7.99,robotics arm,100.0
"embedded systems, python, machine learning, pcb design",4.7,7.53,iot weather station,100.0
"embedded systems, python, machine learning, verilog, vlsi design",2.1,8.18,fpga based design,100.0
"embedded systems, python, machine learning, matlab, signal processing",3.3,7.31,image processing system,100.0
"vlsi design, verilog",1.8,7.89,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design",3.1,9.61,robotics arm,100.0
"embedded systems, python, machine learning, verilog",2.2,9.81,fpga based design,100.0
"embedded systems, python, machine learning, verilog, matlab",1.2,8.93,image processing system,100.0
"signal processing, embedded systems",2.7,7.54,signal analyzer,100.0
"embedded systems, python, machine learning, verilog",3.9,7.0,robotics arm,94.86
"signal processing, python, machine learning",1.4,7.61,iot weather station,75.06
"verilog, vlsi design",2.0,7.94,fpga based design,100.0
"embedded systems, python, machine learning, pcb design, iot",1.6,8.65,smart home automation,100.0
"c programming, matlab, iot, vlsi design",2.5,7.83,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing",1.8,9.88,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design",2.6,8.36,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design",1.2,7.9,image processing system,100.0
"machine learning, embedded systems, matlab, pcb design",0.8,7.81,smart home automation,76.32
"embedded systems, python, machine learning, signal processing",4.7,8.29,smart home automation,100.0
"embedded systems, python, machine learning, verilog, signal processing",2.6,8.15,robotics arm,100.0
"embedded systems, python, machine learning, matlab",4.8,8.49,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design, verilog",1.8,8.2,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",4.4,7.17,fpga based design,100.0
"embedded systems, python, machine learning, c programming, iot",4.4,8.69,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design",4.2,9.85,robotics arm,100.0
"embedded systems, python, machine learning, matlab, verilog",2.5,8.04,signal analyzer,100.0
"embedded systems, python, machine learning, c programming",4.6,7.62,smart home automation,100.0
"c programming, machine learning, python",3.0,7.73,iot weather station,100.0
"vlsi design, signal processing, python",2.7,7.92,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, matlab",2.6,8.87,smart home automation,100.0
"iot, pcb design, matlab, signal processing",1.6,7.63,smart home automation,84.37
"embedded systems, python, machine learning, c programming",4.7,7.64,fpga based design,100.0
"embedded systems, python, machine learning, c programming, vlsi design",4.5,7.12,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, c programming",3.2,7.41,fpga based design,100.0
"embedded systems, python, machine learning, iot",3.5,9.73,fpga based design,100.0
"embedded systems, python, machine learning, matlab, vlsi design",4.6,9.6,iot weather station,100.0
"python, embedded systems, matlab, pcb design",2.0,7.82,iot weather station,100.0
"embedded systems, python, machine learning, matlab",2.9,8.48,robotics arm,100.0
"embedded systems, python, machine learning, c programming, signal processing",1.8,8.18,iot weather station,100.0
"vlsi design, iot, verilog",1.7,7.62,fpga based design,86.78
"embedded systems, python, machine learning, iot, c programming",4.6,8.76,signal analyzer,100.0
"embedded systems, python, machine learning, signal processing, c programming",2.5,7.42,fpga based design,92.57
"signal processing, matlab, iot, embedded systems",2.3,7.87,iot weather station,100.0
"embedded systems, python, machine learning, verilog, pcb design",4.0,8.3,iot weather station,100.0
"embedded systems, python, machine learning, signal processing",4.6,9.79,image processing system,100.0
"embedded systems, python, machine learning, signal processing, matlab",1.1,8.06,ai based fault detection,100.0
"pcb design, vlsi design, iot",2.8,7.29,wireless communication model,88.57
"embedded systems, python, machine learning, vlsi design",2.4,8.22,smart home automation,100.0
"embedded systems, python, machine learning, iot, signal processing",3.6,7.62,wireless communication model,100.0
"embedded systems, python, machine learning, matlab, vlsi design",2.0,8.73,ai based fault detection,100.0
"signal processing, python, pcb design, iot",2.5,7.35,robotics arm,84.71
"embedded systems, c programming, verilog",2.8,7.83,signal analyzer,100.0
"embedded systems, python, machine learning, verilog, iot",2.6,9.16,smart home automation,100.0
"embedded systems, python, machine learning, c programming, signal processing",3.0,8.06,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design",1.9,9.93,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",3.4,7.46,fpga based design,100.0
"embedded systems, python, machine learning, pcb design",3.8,7.09,robotics arm,100.0
"embedded systems, python, machine learning, c programming, iot",1.1,7.86,image processing system,92.53
"embedded systems, python, machine learning, verilog, vlsi design",4.7,8.5,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",2.2,9.6,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",2.0,8.98,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, pcb design",2.1,9.9,image processing system,100.0
"embedded systems, python, machine learning, pcb design, matlab",3.1,9.25,robotics arm,100.0
"embedded systems, python, machine learning, matlab, verilog",3.0,7.34,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, matlab",1.0,9.56,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, iot",3.4,7.71,iot weather station,100.0
"embedded systems, python, machine learning, pcb design, signal processing",3.3,7.35,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design, signal processing",2.8,8.24,signal analyzer,100.0
"signal processing, matlab, python",2.9,7.85,ai based fault detection,100.0
"matlab, verilog, c programming, vlsi design",2.9,7.93,ai based fault detection,100.0
"embedded systems, python, machine learning, matlab",4.1,9.19,robotics arm,100.0
"verilog, pcb design",2.1,7.52,iot weather station,89.67
"iot, python",0.5,8.0,ai based fault detection,87.06
"embedded systems, python, machine learning, signal processing",2.1,9.04,iot weather station,100.0
"embedded systems, python, machine learning, iot, pcb design",3.7,7.34,iot weather station,100.0
"embedded systems, python, machine learning, iot, c programming",2.1,8.65,smart home automation,100.0
"verilog, embedded systems, c programming, python",1.8,7.7,image processing system,99.29
"embedded systems, python, machine learning, verilog",3.0,8.5,iot weather station,100.0
"embedded systems, python, machine learning, pcb design, c programming",4.2,7.14,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design, vlsi design",3.4,8.8,fpga based design,100.0
"embedded systems, python, machine learning, matlab",2.9,8.23,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, iot",4.9,7.58,fpga based design,100.0
"c programming, verilog, machine learning",1.8,7.86,robotics arm,100.0
"embedded systems, python, machine learning, matlab, c programming",3.2,9.5,ai based fault detection,100.0
"embedded systems, verilog, machine learning, pcb design",2.8,7.53,image processing system,100.0
"embedded systems, python, machine learning, signal processing",3.8,8.64,image processing system,100.0
"embedded systems, python, machine learning, verilog, iot",4.9,8.93,wireless communication model,100.0
"iot, signal processing, verilog",3.0,7.96,ai based fault detection,100.0
"embedded systems, python, machine learning, iot",3.4,8.44,signal analyzer,100.0
"embedded systems, python, machine learning, iot",2.4,8.0,image processing system,100.0
"embedded systems, python, machine learning, pcb design, iot",2.2,9.59,iot weather station,100.0
"vlsi design, matlab, embedded systems",1.7,7.68,iot weather station,93.51
"embedded systems, python, machine learning, vlsi design, matlab",4.4,7.43,wireless communication model,100.0
"embedded systems, python, machine learning, verilog, matlab",4.6,7.99,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design",4.6,9.2,signal analyzer,100.0
"embedded systems, python, machine learning, c programming, matlab",4.5,7.69,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design, iot",1.5,9.67,wireless communication model,100.0
"embedded systems, python, machine learning, vlsi design, pcb design",4.0,7.2,signal analyzer,100.0
"embedded systems, python, machine learning, iot",3.2,7.97,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing, iot",1.9,9.95,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, pcb design",4.5,8.31,fpga based design,100.0
"embedded systems, python, machine learning, matlab",4.7,9.29,robotics arm,100.0
"embedded systems, python, machine learning, iot",4.9,9.19,iot weather station,100.0
"embedded systems, python, machine learning, matlab",1.7,9.79,fpga based design,100.0
"embedded systems, python, machine learning, iot, c programming",4.2,9.39,wireless communication model,100.0
"embedded systems, python, machine learning, iot",3.4,9.88,iot weather station,100.0
"embedded systems, python, machine learning, signal processing, iot",4.8,7.92,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design, iot",1.6,9.66,robotics arm,100.0
"embedded systems, python, machine learning, verilog, c programming",2.7,8.78,robotics arm,100.0
"embedded systems, python, machine learning, pcb design, iot",1.2,9.4,wireless communication model,100.0
"embedded systems, python, machine learning, verilog, c programming",4.0,9.31,robotics arm,100.0
"iot, c programming",2.6,7.31,ai based fault detection,83.75
"c programming, vlsi design",2.1,7.73,iot weather station,100.0
"embedded systems, python, machine learning, iot",3.1,7.54,signal analyzer,100.0
"matlab, vlsi design, verilog, embedded systems",1.1,7.76,image processing system,81.31
"embedded systems, python, machine learning, iot",3.6,7.77,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, verilog",2.9,8.32,signal analyzer,100.0
"embedded systems, python, machine learning, c programming, pcb design",2.1,8.29,robotics arm,100.0
"embedded systems, python, machine learning, signal processing",4.6,8.02,image processing system,100.0
"signal processing, matlab, embedded systems, python",1.8,7.66,iot weather station,94.8
"embedded systems, python, machine learning, matlab",4.6,7.72,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog",3.6,7.82,signal analyzer,100.0
"embedded systems, python, machine learning, iot, matlab",4.5,8.54,fpga based design,100.0
"vlsi design, pcb design, iot",0.6,7.99,signal analyzer,89.47
"embedded systems, python, machine learning, signal processing, matlab",2.7,7.43,signal analyzer,100.0
"machine learning, embedded systems, signal processing",1.9,7.78,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design, iot",3.6,7.23,fpga based design,100.0
"embedded systems, python, machine learning, verilog",1.4,9.62,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing, c programming",2.5,9.3,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design, iot",4.6,7.98,image processing system,100.0
"embedded systems, python, machine learning, c programming",1.3,7.73,wireless communication model,85.0
"embedded systems, python, machine learning, vlsi design, verilog",4.5,7.51,wireless communication model,100.0
"verilog, machine learning, iot",1.9,7.96,image processing system,100.0
"embedded systems, python, machine learning, matlab, verilog",1.8,9.22,fpga based design,100.0
"embedded systems, python, machine learning, verilog, matlab",4.7,7.93,robotics arm,100.0
"embedded systems, python, machine learning, c programming",2.6,7.46,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, vlsi design",1.1,9.62,robotics arm,100.0
"signal processing, iot, embedded systems, python",0.3,7.98,ai based fault detection,77.75
"embedded systems, python, machine learning, c programming, pcb design",3.0,8.43,smart home automation,100.0
"c programming, pcb design, python",2.6,7.53,fpga based design,100.0
"embedded systems, python, machine learning, pcb design",3.9,8.02,iot weather station,100.0
"embedded systems, python, machine learning, matlab, signal processing",4.7,8.3,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing, matlab",2.5,9.65,image processing system,100.0
"vlsi design, c programming, pcb design",1.7,7.72,fpga based design,98.0
"embedded systems, python, machine learning, signal processing, pcb design",1.8,9.65,robotics arm,100.0
"embedded systems, python, machine learning, verilog",3.0,10.0,fpga based design,100.0
"vlsi design, machine learning, iot, python",2.8,7.97,wireless communication model,100.0
"embedded systems, python, machine learning, matlab, verilog",3.0,8.98,iot weather station,100.0
"embedded systems, python, machine learning, verilog",2.6,8.01,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design",4.5,9.2,image processing system,100.0
"embedded systems, python, machine learning, verilog, matlab",3.2,9.19,iot weather station,100.0
"verilog, matlab, signal processing",1.4,7.69,smart home automation,84.04
"machine learning, iot, pcb design, signal processing",2.9,7.7,iot weather station,100.0
"embedded systems, python, machine learning, matlab",4.1,8.53,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design",5.0,8.45,image processing system,100.0
"embedded systems, python, machine learning, iot",2.9,9.64,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",2.9,9.85,wireless communication model,100.0
"embedded systems, python, machine learning, pcb design",2.5,7.3,signal analyzer,79.1
"embedded systems, python, machine learning, iot, vlsi design",4.2,9.09,fpga based design,100.0
"embedded systems, matlab, machine learning, c programming",1.8,7.54,iot weather station,81.32
"embedded systems, python, machine learning, iot",1.3,7.98,iot weather station,100.0
"embedded systems, python, machine learning, iot, pcb design",3.1,8.92,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing",2.5,8.26,signal analyzer,100.0
"embedded systems, python, machine learning, iot, pcb design",4.1,7.45,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing, verilog",3.7,8.64,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing, c programming",4.1,9.71,image processing system,100.0
"embedded systems, python, machine learning, vlsi design",2.6,7.8,signal analyzer,100.0
"embedded systems, python, machine learning, c programming",2.5,9.56,fpga based design,100.0
"machine learning, pcb design, iot",2.6,7.78,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, c programming",4.3,8.24,fpga based design,100.0
"embedded systems, python, machine learning, signal processing",3.6,9.2,ai based fault detection,100.0
"iot, python, c programming, embedded systems",2.8,7.21,signal analyzer,79.59
"iot, embedded systems, python, c programming",2.9,7.39,wireless communication model,100.0
"embedded systems, python, machine learning, iot, verilog",2.7,8.08,fpga based design,100.0
"embedded systems, vlsi design, machine learning, iot",2.7,7.64,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming",2.4,7.87,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design",2.9,9.43,image processing system,100.0
"embedded systems, python, machine learning, vlsi design",3.2,7.29,wireless communication model,100.0
"embedded systems, python, machine learning, matlab, vlsi design",2.4,8.74,wireless communication model,100.0
"embedded systems, python, machine learning, matlab, vlsi design",1.4,7.93,iot weather station,100.0
"embedded systems, python, machine learning, c programming, signal processing",1.9,9.44,wireless communication model,100.0
"embedded systems, python, machine learning, iot, pcb design",1.9,8.67,iot weather station,100.0
"embedded systems, python, machine learning, pcb design, c programming",1.4,7.9,smart home automation,100.0
"embedded systems, python, machine learning, signal processing, c programming",4.4,9.62,smart home automation,100.0
"embedded systems, python, machine learning, pcb design, vlsi design",3.2,7.51,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design",4.6,8.15,smart home automation,100.0
"machine learning, c programming, vlsi design, embedded systems",2.7,7.37,iot weather station,94.02
"embedded systems, python, machine learning, matlab",3.5,9.81,ai based fault detection,100.0
"embedded systems, iot, verilog, signal processing",2.8,7.98,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design, vlsi design",2.4,9.68,image processing system,100.0
"embedded systems, python, machine learning, vlsi design, c programming",1.9,8.47,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design",3.4,9.29,smart home automation,100.0
"embedded systems, python, machine learning, iot",4.7,7.44,robotics arm,100.0
"c programming, vlsi design, embedded systems, pcb design",2.4,7.63,smart home automation,100.0
"embedded systems, python, machine learning, pcb design",2.3,9.61,signal analyzer,100.0
"embedded systems, python, machine learning, pcb design",1.5,9.8,iot weather station,100.0
"embedded systems, python, machine learning, matlab, vlsi design",4.3,9.78,iot weather station,100.0
"embedded systems, python, machine learning, matlab",3.5,8.64,image processing system,100.0
"verilog, signal processing",1.3,7.81,wireless communication model,93.98
"embedded systems, python, machine learning, iot",1.8,8.03,fpga based design,100.0
"embedded systems, python, machine learning, verilog",3.0,7.45,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, iot",1.3,8.6,ai based fault detection,100.0
"embedded systems, python, machine learning, iot",3.7,7.77,image processing system,100.0
"embedded systems, matlab, python",2.4,7.86,robotics arm,100.0
"embedded systems, python, machine learning, verilog, iot",2.4,8.88,wireless communication model,100.0
"embedded systems, python, machine learning, pcb design, vlsi design",3.3,7.22,smart home automation,98.37
"embedded systems, python, machine learning, pcb design, c programming",3.0,8.78,wireless communication model,100.0
"matlab, c programming",1.6,7.71,ai based fault detection,93.35
"embedded systems, python, machine learning, verilog, c programming",3.2,9.14,smart home automation,100.0
"signal processing, matlab, verilog",1.2,7.92,robotics arm,100.0
"python, iot",1.8,7.54,smart home automation,81.32
"embedded systems, python, machine learning, pcb design",1.3,9.9,fpga based design,100.0
"signal processing, c programming, vlsi design",1.5,7.85,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing",2.6,8.94,iot weather station,100.0
"machine learning, iot, pcb design, verilog",2.2,7.44,image processing system,84.22
"verilog, matlab, machine learning, python",2.7,7.22,signal analyzer,77.18
"embedded systems, python, machine learning, signal processing",2.1,9.89,signal analyzer,100.0
"embedded systems, python, machine learning, c programming",4.6,7.25,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",4.9,9.75,ai based fault detection,100.0
"embedded systems, c programming, machine learning, python",2.8,7.76,iot weather station,100.0
"vlsi design, iot, machine learning",1.9,7.84,smart home automation,100.0
"embedded systems, python, machine learning, c programming, matlab",1.8,9.48,wireless communication model,100.0
"vlsi design, python",2.5,7.93,smart home automation,100.0
"embedded systems, python, machine learning, pcb design",3.6,7.28,image processing system,100.0
"embedded systems, python, machine learning, iot, matlab",3.0,7.28,robotics arm,94.51
"iot, python, matlab, pcb design",1.6,7.97,signal analyzer,100.0
"embedded systems, python, machine learning, verilog, vlsi design",1.3,8.57,ai based fault detection,100.0
"embedded systems, python, machine learning, signal processing",2.7,7.68,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, pcb design",4.7,7.89,wireless communication model,100.0
"embedded systems, python, machine learning, matlab",4.8,8.77,smart home automation,100.0
"embedded systems, python, machine learning, matlab, iot",3.3,8.21,wireless communication model,100.0
"signal processing, verilog, machine learning",1.6,7.62,smart home automation,83.24
"embedded systems, python, machine learning, c programming",4.1,8.23,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing",4.2,9.17,iot weather station,100.0
"embedded systems, python, machine learning, c programming, verilog",4.9,7.03,iot weather station,100.0
"embedded systems, python, machine learning, iot",3.7,7.76,signal analyzer,100.0
"embedded systems, python, machine learning, c programming, pcb design",3.9,7.08,robotics arm,100.0
"embedded systems, python, machine learning, c programming, verilog",3.3,8.26,iot weather station,100.0
"c programming, machine learning, pcb design, embedded systems",2.6,7.54,ai based fault detection,100.0
"embedded systems, python, machine learning, c programming",3.6,8.29,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design, c programming",3.6,9.43,iot weather station,100.0
"embedded systems, python, machine learning, matlab",4.5,7.77,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, vlsi design",2.1,9.15,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design, iot",1.8,9.1,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design, c programming",1.1,8.96,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design, signal processing",1.7,9.8,ai based fault detection,100.0
"iot, matlab, c programming, embedded systems",2.5,7.71,iot weather station,100.0
"embedded systems, python, machine learning, matlab, signal processing",1.1,9.88,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design, c programming",1.1,9.3,fpga based design,100.0
"embedded systems, python, machine learning, vlsi design",3.0,9.87,image processing system,100.0
"embedded systems, python, machine learning, c programming, verilog",3.8,8.56,signal analyzer,100.0
"vlsi design, c programming",1.9,7.47,image processing system,77.0
"embedded systems, python, machine learning, vlsi design",3.9,7.61,image processing system,100.0
"c programming, python, iot",2.2,7.93,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design",4.8,7.33,robotics arm,100.0
"embedded systems, python, machine learning, iot",4.9,9.44,ai based fault detection,100.0
"embedded systems, python, machine learning, iot",1.6,8.8,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",1.5,7.67,signal analyzer,85.33
"pcb design, matlab",3.0,7.73,image processing system,100.0
"embedded systems, python, machine learning, signal processing, pcb design",1.6,9.35,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, c programming",2.7,9.05,image processing system,100.0
"iot, verilog, embedded systems",2.1,7.91,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",2.1,7.44,image processing system,80.69
"embedded systems, python, machine learning, pcb design",1.3,10.0,signal analyzer,100.0
"pcb design, verilog, vlsi design, iot",2.3,7.43,signal analyzer,86.63
"embedded systems, python, machine learning, vlsi design, verilog",4.4,9.05,wireless communication model,100.0
"embedded systems, python, machine learning, c programming, pcb design",3.5,8.48,wireless communication model,100.0
"machine learning, pcb design, c programming, python",1.8,7.58,iot weather station,85.82
"embedded systems, python, machine learning, signal processing",1.8,9.84,image processing system,100.0
"c programming, matlab, vlsi design, pcb design",2.9,7.88,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design, signal processing",3.9,9.73,ai based fault detection,100.0
"embedded systems, python, machine learning, iot",1.9,8.38,fpga based design,100.0
"embedded systems, python, machine learning, c programming, matlab",3.2,9.15,robotics arm,100.0
"embedded systems, python, machine learning, pcb design",4.0,9.63,iot weather station,100.0
"embedded systems, python, machine learning, signal processing",1.8,9.46,iot weather station,100.0
"embedded systems, python, machine learning, matlab, vlsi design",1.4,9.23,fpga based design,100.0
"pcb design, machine learning",2.5,7.33,fpga based design,82.47
"embedded systems, python, machine learning, matlab",2.1,9.95,ai based fault detection,100.0
"pcb design, signal processing, machine learning, embedded systems",2.6,7.85,image processing system,100.0
"embedded systems, python, machine learning, signal processing, verilog",4.5,9.29,fpga based design,100.0
"iot, signal processing",2.2,7.75,wireless communication model,100.0
"embedded systems, python, machine learning, verilog",2.0,7.56,ai based fault detection,90.63
"embedded systems, matlab",1.5,7.93,wireless communication model,100.0
"embedded systems, python, machine learning, signal processing",4.6,9.54,image processing system,100.0
"embedded systems, python, machine learning, vlsi design",3.1,9.9,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",4.5,9.79,image processing system,100.0
"embedded systems, python, machine learning, iot, pcb design",3.7,9.21,fpga based design,100.0
"embedded systems, python, machine learning, pcb design, matlab",4.4,9.48,smart home automation,100.0
"matlab, c programming, embedded systems",2.2,7.49,wireless communication model,89.84
"embedded systems, python, machine learning, pcb design, c programming",1.9,9.17,robotics arm,100.0
"embedded systems, python, machine learning, vlsi design",4.0,9.8,ai based fault detection,100.0
"embedded systems, python, machine learning, iot",2.4,7.59,ai based fault detection,100.0
"embedded systems, python, machine learning, matlab",5.0,7.23,iot weather station,100.0
"embedded systems, python, machine learning, pcb design, verilog",2.1,8.09,smart home automation,100.0
"embedded systems, python, machine learning, c programming, signal processing",3.7,7.88,ai based fault detection,100.0
"matlab, python",2.0,7.54,signal analyzer,88.39
"embedded systems, python, machine learning, signal processing",4.9,7.62,robotics arm,100.0
"embedded systems, python, machine learning, vlsi design",2.7,7.22,iot weather station,77.18
"machine learning, iot, c programming",2.2,7.73,signal analyzer,100.0
"embedded systems, python, machine learning, iot",3.7,8.17,wireless communication model,100.0
"embedded systems, python, machine learning, iot",3.4,9.62,smart home automation,100.0
"embedded systems, python, machine learning, signal processing",4.8,9.56,iot weather station,100.0
"embedded systems, python, machine learning, iot",3.4,9.1,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog",1.9,8.94,robotics arm,100.0
"embedded systems, python, machine learning, pcb design, matlab",2.3,9.68,iot weather station,100.0
"python, vlsi design, machine learning",2.9,7.7,wireless communication model,100.0
"embedded systems, python, machine learning, c programming",2.1,9.9,smart home automation,100.0
"verilog, signal processing",2.0,7.87,image processing system,100.0
"iot, embedded systems, matlab, verilog",1.9,7.66,smart home automation,98.33
"embedded systems, python, machine learning, signal processing, c programming",5.0,7.5,wireless communication model,100.0
"machine learning, python, signal processing",2.6,7.37,ai based fault detection,90.49
"iot, embedded systems, matlab, c programming",2.3,7.8,robotics arm,100.0
"embedded systems, python, machine learning, iot, verilog",3.1,7.8,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design",3.9,9.05,iot weather station,100.0
"embedded systems, python, machine learning, signal processing",4.2,9.21,wireless communication model,100.0
"pcb design, signal processing, python",0.7,7.89,signal analyzer,81.78
"vlsi design, pcb design, verilog, c programming",2.5,7.68,iot weather station,100.0
"embedded systems, python, machine learning, vlsi design, matlab",2.8,7.28,iot weather station,87.45
"embedded systems, python, machine learning, c programming",3.3,9.14,iot weather station,100.0
"embedded systems, python, machine learning, verilog, matlab",2.4,7.62,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design",1.5,9.03,image processing system,100.0
"embedded systems, python, machine learning, signal processing",4.8,8.54,image processing system,100.0
"embedded systems, python, machine learning, matlab, iot",4.3,9.52,signal analyzer,100.0
"embedded systems, python, machine learning, iot",3.0,9.6,wireless communication model,100.0
"embedded systems, python, machine learning, matlab",2.0,8.97,ai based fault detection,100.0
"vlsi design, embedded systems",1.1,7.98,fpga based design,100.0
"embedded systems, python, machine learning, iot",3.7,9.53,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, iot",4.0,7.67,image processing system,100.0
"c programming, pcb design, python, signal processing",2.5,7.48,iot weather station,99.31
"embedded systems, python, machine learning, verilog, matlab",3.1,7.59,fpga based design,100.0
"embedded systems, python, machine learning, matlab, verilog",2.2,8.19,smart home automation,100.0
"python, c programming, verilog, machine learning",2.8,7.59,signal analyzer,100.0
"embedded systems, python, machine learning, matlab",4.9,9.98,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design, iot",4.9,7.22,smart home automation,100.0
"embedded systems, python, machine learning, matlab, pcb design",2.6,7.85,iot weather station,100.0
"embedded systems, python, machine learning, matlab",4.2,7.46,signal analyzer,100.0
"pcb design, embedded systems, c programming, vlsi design",2.5,7.91,signal analyzer,100.0
"signal processing, vlsi design",2.8,7.85,robotics arm,100.0
"embedded systems, python, machine learning, verilog, vlsi design",3.3,8.95,image processing system,100.0
"iot, pcb design",1.6,7.98,iot weather station,100.0
"signal processing, iot, machine learning, vlsi design",1.6,7.81,image processing system,100.0
"signal processing, pcb design",1.3,7.99,image processing system,100.0
"embedded systems, python, machine learning, signal processing, c programming",4.6,8.2,fpga based design,100.0
"embedded systems, python, machine learning, iot, matlab",4.1,9.21,robotics arm,100.0
"embedded systems, python, machine learning, signal processing, iot",1.5,9.02,signal analyzer,100.0
"embedded systems, python, machine learning, signal processing",2.0,8.35,iot weather station,100.0
"embedded systems, python, machine learning, pcb design, c programming",2.4,7.64,smart home automation,100.0
"embedded systems, python, machine learning, vlsi design, iot",2.8,8.71,signal analyzer,100.0
"embedded systems, python, machine learning, matlab, signal processing",2.8,8.54,fpga based design,100.0
"embedded systems, python, machine learning, signal processing, c programming",4.8,8.81,image processing system,100.0
"embedded systems, python, machine learning, vlsi design, verilog",3.9,9.31,ai based fault detection,100.0
"embedded systems, verilog, python, machine learning",2.1,7.79,ai based fault detection,100.0
"verilog, matlab, signal processing, python",1.9,7.47,robotics arm,77.0
"embedded systems, python, machine learning, c programming, pcb design",1.8,9.85,ai based fault detection,100.0
"embedded systems, python, machine learning, verilog, vlsi design",1.3,8.95,wireless communication model,100.0
